naics_description,license_count,share_of_total
"All Other Miscellaneous Crop Farming",2,0.02
"Music Publishers",2,0.02
"RV (Recreational Vehicle) Parks and Campgrounds",2,0.02
"All Other Basic Organic Chemical Manufacturing",2,0.02
"Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)",2,0.02
"Office Supplies (except Paper) Manufacturing",2,0.02
"Curtain and Linen Mills",2,0.02
"Other Direct Insurance (except Life, Health, and Medical) Carriers",2,0.02
"Periodical Publishers",2,0.02
"Paper Bag and Coated and Treated Paper Manufacturing",2,0.02
"Community Food Services",2,0.02
"Inland Water Passenger Transportation",2,0.02
"Tobacco Product and Electronic Cigarette Merchant Wholesalers",2,0.02
"Other Spectator Sports",2,0.02
"Other Gambling Industries",2,0.02
"Floriculture Production",2,0.02
"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",2,0.02
"All Other Grain Farming",2,0.02
"Electric Power Distribution",2,0.02
"Custom Architectural Woodwork and Millwork Manufacturing",2,0.02
"Commercial and Service Industry Machinery Manufacturing",2,0.02
"Paint, Varnish, and Supplies Merchant Wholesalers",2,0.02
"Scenic and Sightseeing Transportation, Water",2,0.02
"Soap and Other Detergent Manufacturing",2,0.02
"Other Vegetable (except Potato) and Melon Farming",2,0.02
"Motion Picture and Video Distribution",2,0.02
"Diagnostic Imaging Centers",2,0.02
"Book, Periodical, and Newspaper Merchant Wholesalers",2,0.02
"Conveyor and Conveying Equipment Manufacturing",2,0.02
"Soft Drink Manufacturing",2,0.02
"Paint and Wallpaper Retailers",2,0.02
"Wood Window and Door Manufacturing",2,0.02
"Other Measuring and Controlling Device Manufacturing",2,0.02
"Direct Property and Casualty Insurance Carriers",2,0.02
"Payroll Services",2,0.02
"Textile Bag and Canvas Mills",2,0.02
"Upholstered Household Furniture Manufacturing",2,0.02
"Broadwoven Fabric Mills",2,0.02
"Professional Employer Organizations",2,0.02
Apiculture,2,0.02
"Dog and Cat Food Manufacturing",2,0.02
"Confectionery Merchant Wholesalers",2,0.02
"Institutional Furniture Manufacturing",2,0.02
"Radio Broadcasting Stations",2,0.02
"Toy and Hobby Goods and Supplies Merchant Wholesalers",2,0.02
"Amusement and Theme Parks",2,0.02
"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",2,0.02
"Solar Electric Power Generation",2,0.02
"Iron and Steel Forging",2,0.02
"Language Schools",2,0.02
"Golf Courses and Country Clubs",2,0.02
"Farm and Garden Machinery and Equipment Merchant Wholesalers",2,0.02
"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",2,0.02
"Water Supply and Irrigation Systems",2,0.02
"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",2,0.02
"Other Waste Collection",2,0.02
"Facilities Support Services",1,0.01
"Specialized Automotive Repair",1,0.01
"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",1,0.01
"Beer and Ale Merchant Wholesalers",1,0.01
"In-Vitro Diagnostic Substance Manufacturing",1,0.01
"International Affairs",1,0.01
"Deep Sea Freight Transportation",1,0.01
"Textile and Fabric Finishing Mills",1,0.01
"Septic Tank and Related Services",1,0.01
"Construction Sand and Gravel Mining",1,0.01
"Direct Life Insurance Carriers",1,0.01
"Other Urban Transit Systems",1,0.01
"Plate Work Manufacturing",1,0.01
"Poultry Processing",1,0.01
"Elevator and Moving Stairway Manufacturing",1,0.01
"Artificial and Synthetic Fibers and Filaments Manufacturing",1,0.01
"Electronic Shopping",1,0.01
"Spice and Extract Manufacturing",1,0.01
"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)",1,0.01
"Hazardous Waste Collection",1,0.01
"Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals",1,0.01
"Plastics Plumbing Fixture Manufacturing",1,0.01
"Ambulance Services",1,0.01
"Support Activities for Printing",1,0.01
"Wood Preservation",1,0.01
"Tire Dealers",1,0.01
"Temporary Shelters",1,0.01
"Labor Unions and Similar Labor Organizations",1,0.01
"Aluminum Sheet, Plate, and Foil Manufacturing",1,0.01
"Farm Management Services",1,0.01
"Packing and Crating",1,0.01
"Scenic and Sightseeing Transportation, Other",1,0.01
"Other Support Activities for Water Transportation",1,0.01
"Fabricated Pipe and Pipe Fitting Manufacturing",1,0.01
"Leather and Hide Tanning and Finishing",1,0.01
"Breakfast Cereal Manufacturing",1,0.01
"Credit Bureaus",1,0.01
"Showcase, Partition, Shelving, and Locker Manufacturing",1,0.01
"Collection Agencies",1,0.01
"Linen Supply",1,0.01
"Interurban and Rural Bus Transportation",1,0.01
"Other Activities Related to Credit Intermediation",1,0.01
"Residential Mental Health and Substance Abuse Facilities",1,0.01
"Marine Cargo Handling",1,0.01
"Newspaper Publishers",1,0.01
"Greeting Card Publishers",1,0.01
"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",1,0.01
"Nonchocolate Confectionery Manufacturing",1,0.01
"Pharmacy Benefit Management and Other Third Party Administration of Insurance and Pension Funds",1,0.01
"Biological Product (except Diagnostic) Manufacturing",1,0.01
"Executive Search Services",1,0.01
"Ophthalmic Goods Manufacturing",1,0.01
"Carbon and Graphite Product Manufacturing",1,0.01
"Other Snack Food Manufacturing",1,0.01
"Reinsurance Carriers",1,0.01
"Recreational Vehicle Dealers",1,0.01
"Travel Trailer and Camper Manufacturing",1,0.01
"Power, Distribution, and Specialty Transformer Manufacturing",1,0.01
"Consumer Electronics and Appliances Rental",1,0.01
"Plastics Bottle Manufacturing",1,0.01
"Drilling Oil and Gas Wells",1,0.01
"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",1,0.01
"Glass Container Manufacturing",1,0.01
"Commercial Screen Printing",1,0.01
"Legal Counsel and Prosecution",1,0.01
"Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing",1,0.01
"Pesticide and Other Agricultural Chemical Manufacturing",1,0.01
"Hardwood Veneer and Plywood Manufacturing",1,0.01
"Custom Compounding of Purchased Resins",1,0.01
"Other Warehousing and Storage",1,0.01
"Cement Manufacturing",1,0.01
"Trust, Fiduciary, and Custody Activities",1,0.01
"Nonscheduled Chartered Passenger Air Transportation",1,0.01
"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",1,0.01
"Telephone Apparatus Manufacturing",1,0.01
"Adhesive Manufacturing",1,0.01
"Dairy Product (except Dried or Canned) Merchant Wholesalers",1,0.01
